"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	196	4430141	4.4
	"1999"	"1999"	"Alaska"	"02"	53	624779	8.5
	"1999"	"1999"	"Arizona"	"04"	569	5023823	11.3
	"1999"	"1999"	"Arkansas"	"05"	131	2651860	4.9
	"1999"	"1999"	"California"	"06"	3177	33499204	9.5
	"1999"	"1999"	"Colorado"	"08"	385	4226018	9.1
	"1999"	"1999"	"Connecticut"	"09"	337	3386401	10.0
	"1999"	"1999"	"Delaware"	"10"	56	774990	7.2
	"1999"	"1999"	"District of Columbia"	"11"	51	570213	8.9
	"1999"	"1999"	"Florida"	"12"	1088	15759421	6.9
	"1999"	"1999"	"Georgia"	"13"	329	8045965	4.1
	"1999"	"1999"	"Hawaii"	"15"	90	1210300	7.4
	"1999"	"1999"	"Idaho"	"16"	67	1275674	5.3
	"1999"	"1999"	"Illinois"	"17"	1026	12359020	8.3
	"1999"	"1999"	"Indiana"	"18"	222	6044969	3.7
	"1999"	"1999"	"Iowa"	"19"	63	2917634	2.2
	"1999"	"1999"	"Kansas"	"20"	96	2678338	3.6
	"1999"	"1999"	"Kentucky"	"21"	229	4018053	5.7
	"1999"	"1999"	"Louisiana"	"22"	221	4460811	5.0
	"1999"	"1999"	"Maine"	"23"	83	1266808	6.6
	"1999"	"1999"	"Maryland"	"24"	665	5254509	12.7
	"1999"	"1999"	"Massachusetts"	"25"	528	6317345	8.4
	"1999"	"1999"	"Michigan"	"26"	611	9897116	6.2
	"1999"	"1999"	"Minnesota"	"27"	169	4873481	3.5
	"1999"	"1999"	"Mississippi"	"28"	115	2828408	4.1
	"1999"	"1999"	"Missouri"	"29"	319	5561948	5.7
	"1999"	"1999"	"Montana"	"30"	45	897507	5.0
	"1999"	"1999"	"Nebraska"	"31"	49	1704764	2.9
	"1999"	"1999"	"Nevada"	"32"	263	1934718	13.6
	"1999"	"1999"	"New Hampshire"	"33"	58	1222014	4.7
	"1999"	"1999"	"New Jersey"	"34"	639	8359592	7.6
	"1999"	"1999"	"New Mexico"	"35"	290	1808082	16.0
	"1999"	"1999"	"New York"	"36"	1083	18882725	5.7
	"1999"	"1999"	"North Carolina"	"37"	406	7949361	5.1
	"1999"	"1999"	"North Dakota"	"38"	16	644259	Unreliable
	"1999"	"1999"	"Ohio"	"39"	554	11335454	4.9
	"1999"	"1999"	"Oklahoma"	"40"	201	3437147	5.8
	"1999"	"1999"	"Oregon"	"41"	321	3393941	9.5
	"1999"	"1999"	"Pennsylvania"	"42"	1071	12263805	8.7
	"1999"	"1999"	"Rhode Island"	"44"	66	1040402	6.3
	"1999"	"1999"	"South Carolina"	"45"	168	3974682	4.2
	"1999"	"1999"	"South Dakota"	"46"	19	750412	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	372	5638706	6.6
	"1999"	"1999"	"Texas"	"48"	1274	20558220	6.2
	"1999"	"1999"	"Utah"	"49"	218	2203482	9.9
	"1999"	"1999"	"Vermont"	"50"	34	604683	5.6
	"1999"	"1999"	"Virginia"	"51"	395	7000174	5.6
	"1999"	"1999"	"Washington"	"53"	601	5842564	10.3
	"1999"	"1999"	"West Virginia"	"54"	89	1811799	4.9
	"1999"	"1999"	"Wisconsin"	"55"	246	5332666	4.6
	"1999"	"1999"	"Wyoming"	"56"	25	491780	5.1
"Total"	"1999"	"1999"			19379	279040168	6.9
	"2000"	"2000"	"Alabama"	"01"	226	4447100	5.1
